#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.26032,       1034,          0,          0, (null)
   0.26950,       1034,          1,          0, /courses/ud923/filecorpus/1kb-sample-file-1.html
   0.53123,       2107,          1,          0, (null)
   0.53626,       2107,          2,          0, /courses/ud923/filecorpus/1kb-sample-file-2.png
   0.81669,       3402,          2,          0, (null)
   0.82487,       3402,          3,          0, /courses/ud923/filecorpus/1kb-sample-file-3.jpg
   1.10240,       4675,          3,          0, (null)
   1.10489,       4675,          4,          0, /courses/ud923/filecorpus/1kb-sample-file-4.png
   1.68261,       8752,          4,          0, (null)
   1.68262,      12848,          4,          0, (null)
   1.68263,      16944,          4,          0, (null)
   1.68263,      21040,          4,          0, (null)
   1.68263,      25136,          4,          0, (null)
   1.68263,      29232,          4,          0, (null)
   1.68263,      33328,          4,          0, (null)
   1.68263,      37424,          4,          0, (null)
   1.68263,      41520,          4,          0, (null)
   1.68263,      45616,          4,          0, (null)
   1.68263,      49712,          4,          0, (null)
   1.68264,      53808,          4,          0, (null)
   1.68264,      57904,          4,          0, (null)
   1.68264,      62000,          4,          0, (null)
   1.68264,      66096,          4,          0, (null)
   1.68264,      70192,          4,          0, (null)
   1.68264,      74288,          4,          0, (null)
   1.68264,      78384,          4,          0, (null)
   1.68264,      82480,          4,          0, (null)
   1.68264,      86576,          4,          0, (null)
   1.68264,      90672,          4,          0, (null)
   1.68265,      94768,          4,          0, (null)
   1.68265,      98864,          4,          0, (null)
   1.68265,     102960,          4,          0, (null)
   1.68265,     107056,          4,          0, (null)
   1.68265,     111152,          4,          0, (null)
   1.68265,     115248,          4,          0, (null)
   1.68265,     119344,          4,          0, (null)
   1.68265,     123440,          4,          0, (null)
   1.68265,     127536,          4,          0, (null)
   1.68266,     131632,          4,          0, (null)
   1.68266,     135728,          4,          0, (null)
   1.68266,     139824,          4,          0, (null)
   1.68266,     143920,          4,          0, (null)
   1.68266,     148016,          4,          0, (null)
   1.68266,     152112,          4,          0, (null)
   1.68266,     156208,          4,          0, (null)
   1.68266,     160304,          4,          0, (null)
   1.68266,     164400,          4,          0, (null)
   1.68267,     168496,          4,          0, (null)
   1.68267,     172592,          4,          0, (null)
   1.68267,     176688,          4,          0, (null)
   1.68267,     180784,          4,          0, (null)
   1.68267,     184880,          4,          0, (null)
   1.68267,     188976,          4,          0, (null)
   1.68267,     193072,          4,          0, (null)
   1.68267,     197168,          4,          0, (null)
   1.68267,     201264,          4,          0, (null)
   1.68268,     205360,          4,          0, (null)
   1.68268,     209456,          4,          0, (null)
   1.68268,     213552,          4,          0, (null)
   1.68268,     217648,          4,          0, (null)
   1.68268,     221744,          4,          0, (null)
   1.68268,     225840,          4,          0, (null)
   1.68268,     229936,          4,          0, (null)
   1.68268,     234032,          4,          0, (null)
   1.68268,     237849,          4,          0, (null)
   1.68942,     237849,          5,          0, /courses/ud923/filecorpus/paraglider.jpg
   2.34639,     241926,          5,          0, (null)
   2.34640,     246022,          5,          0, (null)
   2.34640,     250118,          5,          0, (null)
   2.34640,     254214,          5,          0, (null)
   2.34809,     258310,          5,          0, (null)
   2.34810,     262406,          5,          0, (null)
   2.34810,     266502,          5,          0, (null)
   2.34810,     270598,          5,          0, (null)
   2.34810,     274694,          5,          0, (null)
   2.34810,     278790,          5,          0, (null)
   2.34810,     282886,          5,          0, (null)
   2.34810,     286982,          5,          0, (null)
   2.34810,     291078,          5,          0, (null)
   2.34811,     295174,          5,          0, (null)
   2.34811,     299270,          5,          0, (null)
   2.34811,     303366,          5,          0, (null)
   2.34811,     307462,          5,          0, (null)
   2.34811,     311558,          5,          0, (null)
   2.34811,     315654,          5,          0, (null)
   2.34811,     319750,          5,          0, (null)
   2.34811,     323846,          5,          0, (null)
   2.34811,     327942,          5,          0, (null)
   2.34811,     332038,          5,          0, (null)
   2.34812,     336134,          5,          0, (null)
   2.34812,     340230,          5,          0, (null)
   2.34812,     344326,          5,          0, (null)
   2.34812,     348422,          5,          0, (null)
   2.34812,     352518,          5,          0, (null)
   2.34812,     356614,          5,          0, (null)
   2.34812,     360710,          5,          0, (null)
   2.34812,     364806,          5,          0, (null)
   2.34812,     368902,          5,          0, (null)
   2.34813,     372998,          5,          0, (null)
   2.34813,     376026,          5,          0, (null)
   2.35328,     376026,          6,          0, /courses/ud923/filecorpus/road.jpg
   2.81627,     380103,          6,          0, (null)
   2.81628,     384199,          6,          0, (null)
   2.81628,     388295,          6,          0, (null)
   2.81629,     392391,          6,          0, (null)
   2.81629,     396487,          6,          0, (null)
   2.81629,     400583,          6,          0, (null)
   2.81629,     404679,          6,          0, (null)
   2.81629,     408775,          6,          0, (null)
   2.81629,     412871,          6,          0, (null)
   2.81629,     416967,          6,          0, (null)
   2.81629,     421063,          6,          0, (null)
   2.81630,     425159,          6,          0, (null)
   2.81630,     429255,          6,          0, (null)
   2.81630,     433351,          6,          0, (null)
   2.81630,     437447,          6,          0, (null)
   2.81630,     441543,          6,          0, (null)
   2.81630,     445639,          6,          0, (null)
   2.81630,     449735,          6,          0, (null)
   2.81630,     453831,          6,          0, (null)
   2.81630,     457927,          6,          0, (null)
   2.81630,     462023,          6,          0, (null)
   2.81631,     466119,          6,          0, (null)
   2.81631,     470215,          6,          0, (null)
   2.81631,     474311,          6,          0, (null)
   2.81631,     478407,          6,          0, (null)
   2.81631,     480270,          6,          0, (null)
   2.82323,     480270,          7,          0, /courses/ud923/filecorpus/yellowstone.jpg
   3.51944,     484347,          7,          0, (null)
   3.51945,     488443,          7,          0, (null)
   3.51945,     492539,          7,          0, (null)
   3.51945,     496635,          7,          0, (null)
   3.51945,     500731,          7,          0, (null)
   3.51946,     504827,          7,          0, (null)
   3.51946,     508923,          7,          0, (null)
   3.51946,     513019,          7,          0, (null)
   3.51946,     517115,          7,          0, (null)
   3.51946,     521211,          7,          0, (null)
   3.51946,     525307,          7,          0, (null)
   3.51946,     529403,          7,          0, (null)
   3.51946,     533499,          7,          0, (null)
   3.51946,     537595,          7,          0, (null)
   3.51947,     541691,          7,          0, (null)
   3.52120,     545787,          7,          0, (null)
   3.52120,     549883,          7,          0, (null)
   3.52120,     553979,          7,          0, (null)
   3.52121,     558075,          7,          0, (null)
   3.52121,     562171,          7,          0, (null)
   3.52121,     566267,          7,          0, (null)
   3.52121,     570363,          7,          0, (null)
   3.52121,     574459,          7,          0, (null)
   3.52121,     578555,          7,          0, (null)
   3.52121,     582651,          7,          0, (null)
   3.52121,     586747,          7,          0, (null)
   3.52122,     590843,          7,          0, (null)
   3.52122,     594939,          7,          0, (null)
   3.52122,     599035,          7,          0, (null)
   3.52122,     603131,          7,          0, (null)
   3.52122,     607227,          7,          0, (null)
   3.52122,     611323,          7,          0, (null)
   3.52122,     615419,          7,          0, (null)
   3.52123,     619515,          7,          0, (null)
   3.52123,     623611,          7,          0, (null)
   3.52123,     627707,          7,          0, (null)
   3.52123,     631803,          7,          0, (null)
   3.52123,     635899,          7,          0, (null)
   3.52123,     639995,          7,          0, (null)
   3.52123,     644091,          7,          0, (null)
   3.52123,     648187,          7,          0, (null)
   3.52123,     652283,          7,          0, (null)
   3.52124,     656379,          7,          0, (null)
   3.52124,     660475,          7,          0, (null)
   3.52124,     664571,          7,          0, (null)
   3.52124,     668667,          7,          0, (null)
   3.52124,     672763,          7,          0, (null)
   3.52124,     676859,          7,          0, (null)
   3.52124,     680955,          7,          0, (null)
   3.52124,     685051,          7,          0, (null)
   3.52125,     689147,          7,          0, (null)
   3.52125,     693243,          7,          0, (null)
   3.52125,     697339,          7,          0, (null)
   3.52125,     701435,          7,          0, (null)
   3.52125,     705531,          7,          0, (null)
   3.52125,     709627,          7,          0, (null)
   3.52125,     713723,          7,          0, (null)
   3.52125,     717819,          7,          0, (null)
   3.52125,     721915,          7,          0, (null)
   3.52126,     726011,          7,          0, (null)
   3.52126,     730107,          7,          0, (null)
   3.52126,     734203,          7,          0, (null)
   3.52126,     738299,          7,          0, (null)
   3.52126,     742395,          7,          0, (null)
   3.52126,     746491,          7,          0, (null)
   3.52126,     750587,          7,          0, (null)
   3.52126,     754683,          7,          0, (null)
   3.52126,     758779,          7,          0, (null)
   3.52127,     762875,          7,          0, (null)
   3.52127,     766971,          7,          0, (null)
   3.52127,     771067,          7,          0, (null)
   3.52127,     775163,          7,          0, (null)
   3.52127,     779259,          7,          0, (null)
   3.52127,     783355,          7,          0, (null)
   3.52127,     787451,          7,          0, (null)
   3.52127,     791547,          7,          0, (null)
   3.52127,     795643,          7,          0, (null)
   3.52128,     799739,          7,          0, (null)
   3.52128,     803835,          7,          0, (null)
   3.52128,     807931,          7,          0, (null)
   3.52128,     812027,          7,          0, (null)
   3.52128,     816123,          7,          0, (null)
   3.52128,     820219,          7,          0, (null)
   3.52128,     824315,          7,          0, (null)
   3.52128,     828411,          7,          0, (null)
   3.52129,     832507,          7,          0, (null)
   3.52129,     836603,          7,          0, (null)
   3.52129,     840699,          7,          0, (null)
   3.52129,     844795,          7,          0, (null)
   3.52129,     848891,          7,          0, (null)
   3.52255,     852987,          7,          0, (null)
   3.52255,     857083,          7,          0, (null)
   3.52255,     861179,          7,          0, (null)
   3.52255,     865275,          7,          0, (null)
   3.52256,     869371,          7,          0, (null)
   3.52256,     873467,          7,          0, (null)
   3.52256,     877563,          7,          0, (null)
   3.52256,     881659,          7,          0, (null)
   3.52256,     885755,          7,          0, (null)
   3.52256,     889851,          7,          0, (null)
   3.52256,     893947,          7,          0, (null)
   3.52256,     898043,          7,          0, (null)
   3.52256,     902139,          7,          0, (null)
   3.52257,     906235,          7,          0, (null)
   3.52257,     910331,          7,          0, (null)
   3.52257,     914427,          7,          0, (null)
   3.52257,     918523,          7,          0, (null)
   3.52257,     922619,          7,          0, (null)
   3.52257,     926715,          7,          0, (null)
   3.52257,     930811,          7,          0, (null)
   3.52258,     932501,          7,          0, (null)
   3.52548,     932501,          8,          0, /courses/ud923/filecorpus/moranabovejacksonlake.jpg
   3.84530,     933771,          8,          0, (null)
   3.85623,     933771,          9,          0, /courses/ud923/filecorpus/1kb-sample-file-0.png
   4.10531,     934805,          9,          0, (null)
   4.10936,     934805,         10,          0, /courses/ud923/filecorpus/1kb-sample-file-1.html
